10.0.0.2 : duplicate for [0], 84 bytes, 52.4 ms
10.0.0.2 : duplicate for [0], 84 bytes, 52.7 ms
10.0.0.2 : duplicate for [0], 84 bytes, 56.4 ms
10.0.0.3 : duplicate for [0], 84 bytes, 273 ms
10.0.0.3 : duplicate for [0], 84 bytes, 273 ms
10.0.0.3 : duplicate for [0], 84 bytes, 273 ms
10.0.0.3 : duplicate for [0], 84 bytes, 286 ms
10.0.0.3 : duplicate for [0], 84 bytes, 289 ms
10.0.0.4 : duplicate for [0], 84 bytes, 277 ms
10.0.0.3 : duplicate for [0], 84 bytes, 289 ms
10.0.0.4 : duplicate for [0], 84 bytes, 277 ms
10.0.0.4 : duplicate for [0], 84 bytes, 278 ms
10.0.0.3 : duplicate for [0], 84 bytes, 289 ms
10.0.0.4 : duplicate for [0], 84 bytes, 278 ms
10.0.0.3 : duplicate for [0], 84 bytes, 318 ms
10.0.0.4 : duplicate for [0], 84 bytes, 307 ms
10.0.0.4 : duplicate for [0], 84 bytes, 307 ms
10.0.0.3 : duplicate for [0], 84 bytes, 319 ms
10.0.0.4 : duplicate for [0], 84 bytes, 308 ms
10.0.0.4 : duplicate for [0], 84 bytes, 308 ms
10.0.0.3 : duplicate for [0], 84 bytes, 320 ms
10.0.0.4 : duplicate for [0], 84 bytes, 308 ms
10.0.0.3 : duplicate for [0], 84 bytes, 320 ms
10.0.0.4 : duplicate for [0], 84 bytes, 308 ms
10.0.0.4 : duplicate for [0], 84 bytes, 310 ms
10.0.0.3 : duplicate for [0], 84 bytes, 322 ms
10.0.0.4 : duplicate for [0], 84 bytes, 310 ms
10.0.0.3 : duplicate for [0], 84 bytes, 322 ms
10.0.0.4 : duplicate for [0], 84 bytes, 311 ms
10.0.0.3 : duplicate for [0], 84 bytes, 322 ms
10.0.0.4 : duplicate for [0], 84 bytes, 311 ms
10.0.0.3 : duplicate for [0], 84 bytes, 329 ms
10.0.0.4 : duplicate for [0], 84 bytes, 317 ms
10.0.0.2 : duplicate for [1], 84 bytes, 12.5 ms
10.0.0.2 : duplicate for [1], 84 bytes, 12.6 ms
10.0.0.2 : duplicate for [1], 84 bytes, 12.9 ms
10.0.0.3 : duplicate for [1], 84 bytes, 56.0 ms
10.0.0.3 : duplicate for [1], 84 bytes, 56.6 ms
10.0.0.3 : duplicate for [1], 84 bytes, 56.7 ms
10.0.0.3 : duplicate for [1], 84 bytes, 56.8 ms
10.0.0.3 : duplicate for [1], 84 bytes, 69.5 ms
10.0.0.3 : duplicate for [1], 84 bytes, 70.1 ms
10.0.0.3 : duplicate for [1], 84 bytes, 70.2 ms
10.0.0.3 : duplicate for [1], 84 bytes, 70.3 ms
10.0.0.3 : duplicate for [1], 84 bytes, 70.5 ms
10.0.0.3 : duplicate for [1], 84 bytes, 70.6 ms
10.0.0.3 : duplicate for [1], 84 bytes, 79.7 ms
10.0.0.3 : duplicate for [1], 84 bytes, 80.1 ms
10.0.0.3 : duplicate for [1], 84 bytes, 80.4 ms
10.0.0.3 : duplicate for [1], 84 bytes, 80.5 ms
10.0.0.3 : duplicate for [1], 84 bytes, 84.0 ms
10.0.0.4 : duplicate for [1], 84 bytes, 88.1 ms
10.0.0.4 : duplicate for [1], 84 bytes, 88.7 ms
10.0.0.4 : duplicate for [1], 84 bytes, 88.8 ms
10.0.0.4 : duplicate for [1], 84 bytes, 89.0 ms
10.0.0.4 : duplicate for [1], 84 bytes, 97.3 ms
10.0.0.4 : duplicate for [1], 84 bytes, 97.8 ms
10.0.0.4 : duplicate for [1], 84 bytes, 97.9 ms
10.0.0.4 : duplicate for [1], 84 bytes, 98.0 ms
10.0.0.4 : duplicate for [1], 84 bytes, 98.1 ms
10.0.0.4 : duplicate for [1], 84 bytes, 98.2 ms
10.0.0.4 : duplicate for [1], 84 bytes, 101 ms
10.0.0.4 : duplicate for [1], 84 bytes, 101 ms
10.0.0.4 : duplicate for [1], 84 bytes, 101 ms
10.0.0.4 : duplicate for [1], 84 bytes, 101 ms
10.0.0.4 : duplicate for [1], 84 bytes, 101 ms
10.0.0.2 : duplicate for [2], 84 bytes, 10.7 ms
10.0.0.2 : duplicate for [2], 84 bytes, 11.2 ms
10.0.0.2 : duplicate for [2], 84 bytes, 11.3 ms
10.0.0.3 : duplicate for [2], 84 bytes, 60.1 ms
10.0.0.3 : duplicate for [2], 84 bytes, 63.0 ms
10.0.0.3 : duplicate for [2], 84 bytes, 63.3 ms
10.0.0.3 : duplicate for [2], 84 bytes, 78.7 ms
10.0.0.3 : duplicate for [2], 84 bytes, 79.3 ms
10.0.0.3 : duplicate for [2], 84 bytes, 79.4 ms
10.0.0.3 : duplicate for [2], 84 bytes, 79.7 ms
10.0.0.3 : duplicate for [2], 84 bytes, 79.9 ms
10.0.0.3 : duplicate for [2], 84 bytes, 95.8 ms
10.0.0.3 : duplicate for [2], 84 bytes, 96.1 ms
10.0.0.3 : duplicate for [2], 84 bytes, 96.2 ms
10.0.0.3 : duplicate for [2], 84 bytes, 96.3 ms
10.0.0.3 : duplicate for [2], 84 bytes, 96.5 ms
10.0.0.3 : duplicate for [2], 84 bytes, 102 ms
10.0.0.3 : duplicate for [2], 84 bytes, 102 ms
10.0.0.4 : duplicate for [2], 84 bytes, 117 ms
10.0.0.4 : duplicate for [2], 84 bytes, 118 ms
10.0.0.4 : duplicate for [2], 84 bytes, 118 ms
10.0.0.4 : duplicate for [2], 84 bytes, 118 ms
10.0.0.4 : duplicate for [2], 84 bytes, 134 ms
10.0.0.4 : duplicate for [2], 84 bytes, 135 ms
10.0.0.4 : duplicate for [2], 84 bytes, 135 ms
10.0.0.4 : duplicate for [2], 84 bytes, 135 ms
10.0.0.4 : duplicate for [2], 84 bytes, 135 ms
10.0.0.4 : duplicate for [2], 84 bytes, 135 ms
10.0.0.4 : duplicate for [2], 84 bytes, 137 ms
10.0.0.4 : duplicate for [2], 84 bytes, 138 ms
10.0.0.4 : duplicate for [2], 84 bytes, 138 ms
10.0.0.4 : duplicate for [2], 84 bytes, 138 ms
10.0.0.4 : duplicate for [2], 84 bytes, 139 ms
10.0.0.2 : duplicate for [3], 84 bytes, 14.9 ms
10.0.0.2 : duplicate for [3], 84 bytes, 15.3 ms
10.0.0.2 : duplicate for [3], 84 bytes, 15.4 ms
10.0.0.3 : duplicate for [3], 84 bytes, 67.6 ms
10.0.0.3 : duplicate for [3], 84 bytes, 76.3 ms
10.0.0.3 : duplicate for [3], 84 bytes, 76.6 ms
10.0.0.3 : duplicate for [3], 84 bytes, 89.8 ms
10.0.0.3 : duplicate for [3], 84 bytes, 90.5 ms
10.0.0.3 : duplicate for [3], 84 bytes, 90.8 ms
10.0.0.3 : duplicate for [3], 84 bytes, 90.9 ms
10.0.0.3 : duplicate for [3], 84 bytes, 91.1 ms
10.0.0.3 : duplicate for [3], 84 bytes, 98.8 ms
10.0.0.3 : duplicate for [3], 84 bytes, 99.6 ms
10.0.0.3 : duplicate for [3], 84 bytes, 99.9 ms
10.0.0.3 : duplicate for [3], 84 bytes, 100 ms
10.0.0.3 : duplicate for [3], 84 bytes, 100 ms
10.0.0.3 : duplicate for [3], 84 bytes, 115 ms
10.0.0.3 : duplicate for [3], 84 bytes, 115 ms
10.0.0.4 : duplicate for [3], 84 bytes, 129 ms
10.0.0.4 : duplicate for [3], 84 bytes, 130 ms
10.0.0.4 : duplicate for [3], 84 bytes, 130 ms
10.0.0.4 : duplicate for [3], 84 bytes, 130 ms
10.0.0.4 : duplicate for [3], 84 bytes, 139 ms
10.0.0.4 : duplicate for [3], 84 bytes, 140 ms
10.0.0.4 : duplicate for [3], 84 bytes, 140 ms
10.0.0.4 : duplicate for [3], 84 bytes, 140 ms
10.0.0.4 : duplicate for [3], 84 bytes, 140 ms
10.0.0.4 : duplicate for [3], 84 bytes, 141 ms
10.0.0.4 : duplicate for [3], 84 bytes, 142 ms
10.0.0.4 : duplicate for [3], 84 bytes, 142 ms
10.0.0.4 : duplicate for [3], 84 bytes, 142 ms
10.0.0.4 : duplicate for [3], 84 bytes, 142 ms
10.0.0.4 : duplicate for [3], 84 bytes, 147 ms
10.0.0.2 : duplicate for [4], 84 bytes, 21.5 ms
10.0.0.2 : duplicate for [4], 84 bytes, 21.9 ms
10.0.0.2 : duplicate for [4], 84 bytes, 22.3 ms
10.0.0.3 : duplicate for [4], 84 bytes, 117 ms
10.0.0.3 : duplicate for [4], 84 bytes, 117 ms
10.0.0.3 : duplicate for [4], 84 bytes, 117 ms
10.0.0.3 : duplicate for [4], 84 bytes, 117 ms
10.0.0.2 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 7.55/15.9/40.4
10.0.0.3 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 45.6/100/251
10.0.0.4 : xmt/rcv/%loss = 5/4/20%, min/avg/max = 77.4/136/262
10.0.0.1 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 6.83/11.6/18.6
10.0.0.3 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 8.05/16.7/28.2
10.0.0.4 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 8.38/16.3/28.9
10.0.0.1 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 8.42/25.9/42.7
10.0.0.2 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 6.54/20.3/36.8
10.0.0.4 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 7.14/11.1/15.5
10.0.0.1 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 8.80/32.3/55.2
10.0.0.2 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 6.40/27.4/43.8
10.0.0.3 : xmt/rcv/%loss = 5/5/0%, min/avg/max = 4.07/13.3/25.6
* Connection Model: equal
* N Switches: 2
* N Hosts: 4
* N Packets: 5
* Fail time (s): 4
* Execution duration (s): 17.204712390899658
-------------
10.0.0.2 : duplicate for [0], 84 bytes, 65.9 ms
10.0.0.2 : duplicate for [0], 84 bytes, 66.9 ms
10.0.0.2 : duplicate for [0], 84 bytes, 72.8 ms
10.0.0.3 : duplicate for [0], 84 bytes, 355 ms
10.0.0.3 : duplicate for [0], 84 bytes, 356 ms
10.0.0.3 : duplicate for [0], 84 bytes, 356 ms
10.0.0.3 : duplicate for [0], 84 bytes, 356 ms
10.0.0.3 : duplicate for [0], 84 bytes, 367 ms
10.0.0.3 : duplicate for [0], 84 bytes, 367 ms
10.0.0.3 : duplicate for [0], 84 bytes, 367 ms
10.0.0.3 : duplicate for [0], 84 bytes, 368 ms
10.0.0.3 : duplicate for [0], 84 bytes, 368 ms
10.0.0.3 : duplicate for [0], 84 bytes, 368 ms
10.0.0.3 : duplicate for [0], 84 bytes, 390 ms
10.0.0.3 : duplicate for [0], 84 bytes, 391 ms
10.0.0.3 : duplicate for [0], 84 bytes, 391 ms
10.0.0.4 : duplicate for [0], 84 bytes, 381 ms
10.0.0.3 : duplicate for [0], 84 bytes, 391 ms
10.0.0.4 : duplicate for [0], 84 bytes, 381 ms
10.0.0.4 : duplicate for [0], 84 bytes, 381 ms
10.0.0.4 : duplicate for [0], 84 bytes, 381 ms
10.0.0.3 : duplicate for [0], 84 bytes, 400 ms
10.0.0.4 : duplicate for [0], 84 bytes, 391 ms
10.0.0.4 : duplicate for [0], 84 bytes, 391 ms
10.0.0.4 : duplicate for [0], 84 bytes, 391 ms
10.0.0.4 : duplicate for [0], 84 bytes, 391 ms
10.0.0.4 : duplicate for [0], 84 bytes, 391 ms
10.0.0.4 : duplicate for [0], 84 bytes, 391 ms
10.0.0.4 : duplicate for [0], 84 bytes, 396 ms
10.0.0.4 : duplicate for [0], 84 bytes, 398 ms
10.0.0.4 : duplicate for [0], 84 bytes, 398 ms
10.0.0.4 : duplicate for [0], 84 bytes, 398 ms
10.0.0.4 : duplicate for [0], 84 bytes, 398 ms
10.0.0.2 : duplicate for [1], 84 bytes, 17.5 ms
10.0.0.2 : duplicate for [1], 84 bytes, 17.7 ms
10.0.0.2 : duplicate for [1], 84 bytes, 17.9 ms
10.0.0.3 : duplicate for [1], 84 bytes, 109 ms
10.0.0.3 : duplicate for [1], 84 bytes, 109 ms
10.0.0.3 : duplicate for [1], 84 bytes, 110 ms
10.0.0.3 : duplicate for [1], 84 bytes, 110 ms
10.0.0.3 : duplicate for [1], 84 bytes, 128 ms
10.0.0.3 : duplicate for [1], 84 bytes, 129 ms
10.0.0.3 : duplicate for [1], 84 bytes, 129 ms
10.0.0.3 : duplicate for [1], 84 bytes, 129 ms
10.0.0.3 : duplicate for [1], 84 bytes, 130 ms
10.0.0.3 : duplicate for [1], 84 bytes, 130 ms
10.0.0.3 : duplicate for [1], 84 bytes, 148 ms
10.0.0.3 : duplicate for [1], 84 bytes, 148 ms
10.0.0.3 : duplicate for [1], 84 bytes, 149 ms
10.0.0.4 : duplicate for [1], 84 bytes, 139 ms
10.0.0.3 : duplicate for [1], 84 bytes, 149 ms
10.0.0.4 : duplicate for [1], 84 bytes, 139 ms
10.0.0.4 : duplicate for [1], 84 bytes, 139 ms
10.0.0.4 : duplicate for [1], 84 bytes, 139 ms
10.0.0.3 : duplicate for [1], 84 bytes, 171 ms
10.0.0.4 : duplicate for [1], 84 bytes, 161 ms
10.0.0.4 : duplicate for [1], 84 bytes, 161 ms
10.0.0.4 : duplicate for [1], 84 bytes, 162 ms
10.0.0.4 : duplicate for [1], 84 bytes, 162 ms
10.0.0.4 : duplicate for [1], 84 bytes, 162 ms
10.0.0.4 : duplicate for [1], 84 bytes, 162 ms
10.0.0.4 : duplicate for [1], 84 bytes, 165 ms
10.0.0.4 : duplicate for [1], 84 bytes, 165 ms
10.0.0.4 : duplicate for [1], 84 bytes, 165 ms
10.0.0.4 : duplicate for [1], 84 bytes, 165 ms
10.0.0.4 : duplicate for [1], 84 bytes, 167 ms
10.0.0.2 : duplicate for [2], 84 bytes, 12.0 ms
